authorUrl,photoUrl,name,authorTitle,since,company,bioFull,xUrl,xHandle,linkedinUrl,linkedinID,themeTitle,themeDesc,themeReviews,numAnalysis,numInvGroupResearch,numBlogPosts,numComments,numLikes,numFollowers,numFollowing,scrapedDate
https://seekingalpha.com/author/sa-transcripts,https://static3.seekingalpha.com/images/users_profile/000/101/639/extra_large_pic.png,SA Transcripts,,Seeking Alpha Analyst since 2013,,"Seeking Alpha's transcripts team is responsible for the development of all of our transcript-related projects. We currently publish thousands of quarterly earnings calls per quarter on our site and are continuing to grow and expand our coverage. The purpose of this profile is to allow us to share with our readers new transcript-related developments. Thanks, SA Transcripts Team",None,None,None,None,,,,362.32K,,,1,,149.84K,3,2024-10-31
https://seekingalpha.com/author/erasmus-yeo,https://static3.seekingalpha.com/images/users_profile/056/104/099/extra_large_pic.png,Erasmus Yeo,,Seeking Alpha Analyst since 2024,Imperial College London,"I am a first-year undergraduate studying Economics, Finance and Data Science at Imperial College London. Having developed investment pitch decks and a business finance course for small-medium enterprises (SMEs) in Singapore, I discovered my passion in equity research and financial modelling. With a keen interest in dissecting revenue drivers and identifying inefficiencies, I am a long/short value investor who uses a ground-up fundamental approach to identify value opportunities.Desiring to constantly hone my financial acumen to share better ideas with the community, I look forward to making positive contributions to your portfolio and receiving constructive feedback from you!",None,None,https://www.linkedin.com/in/erasmus-yeo/,erasmus-yeo,,,,1,,,,,1,1,2024-10-31
https://seekingalpha.com/author/cash-flow-venue,https://static2.seekingalpha.com/images/users_profile/057/852/430/extra_large_pic.png,Cash Flow Venue,,Seeking Alpha Analyst since 2024,,"Welcome to Cash Flow Venue, where dividends do the heavy lifting! Blending my financial chops with the timeless wisdom of value investing (and love for steady income), I’ve built a rock-solid pillar in my financial foundation through dividend investing. I believe it’s one of the most accessible paths to achieving financial freedom, and I’m excited to share my insights with you. I’m a finance professional with deep experience in M&A and business valuation. What does that mean in practice? I’ve evaluated countless businesses and played key roles in sell-side and buy-side transactions, guiding clients through the complexities of buying and selling companies. In my day-to-day work, I dive into financial modelling, conduct commercial and financial due diligence to assess a company’s health, negotiate deal terms, and, of course, attend way too many meetings :) My focus spans sectors like tech, real estate, software, finance, and consumer staples - industries I’ve spent years advising and now invest in personally. Today, they make up the core of my portfolio and coverage on this platform. My motivation for writing on Seeking Alpha comes from a desire to not only deepen my own knowledge but also to share value with others who are on a similar path. Dividend investing has played a key role in my financial journey, and I believe it’s one of the most straightforward and accessible ways for anyone to work towards financial freedom. By sharing my insights and experiences, I hope to demystify the process, making it more approachable for those looking to build long-term wealth. Ultimately, my goal is to help facilitate OUR journey to financial freedom, learning and growing together as we navigate the world of dividend investing.",None,None,None,None,,,,93,,,830,952,1.29K,13,2024-10-31
https://seekingalpha.com/author/robert-f-abbott,https://static3.seekingalpha.com/images/users_profile/024/320/523/extra_large_pic.png,Robert F. Abbott,,Seeking Alpha Analyst since 2014,Abbott management services,"Robert F. Abbott has been investing his family’s accounts since 1995, and in 2010 added options, mainly covered calls and collars with long stocks. He is a freelance writer, and his projects include a website that provides information for new and intermediate-level mutual fund investors. A resident of Airdrie, Alberta, Canada, Robert has earned Bachelor of Arts and Master of Business Administration (MBA) degrees.",None,None,http://www.linkedin.com/AbbottStocks,,,,,129,,,202,29,1.04K,1.07K,2024-10-31
https://seekingalpha.com/author/gary-gambino,https://static1.seekingalpha.com/images/users_profile/021/205/541/extra_large_pic.png,Gary Gambino,,Seeking Alpha Analyst since 2019,,"I retired early after 22 years in the energy industry with roles in engineering, planning, and financial analysis. I have managed my own portfolio since 1998 and have met my goal to match the S+P 500 return over the long term with lower volatility and higher income. I mostly write on positions I already hold or am considering changing. I prefer to hold positions for the long-term unless there is a compelling reason to sell. I look for investment opportunities without regard to asset class, market cap, sector, or yield. I would rather maximize total return over time by buying when price is low relative to intrinsic value.",None,None,None,None,,,,342,,2,3.21K,6.86K,5.71K,26,2024-10-31
https://seekingalpha.com/author/leo-nelissen,https://static1.seekingalpha.com/images/users_profile/031/557/165/extra_large_pic.png,Leo Nelissen,Investing Group,Seeking Alpha Analyst since 2015,BN Capital,"Leo Nelissen is an analyst focusing on major economic developments related to supply chains, infrastructure, and commodities. He is a contributing author for iREIT®+HOYA Capital.As a member of the iREIT®+HOYA Capital team, Leo aims to provide insightful analysis and actionable investment ideas, with a particular emphasis on dividend growth opportunities. Learn More. ",https://twitter.com/LeoNelissen,LeoNelissen,None,None,iREIT®+HOYA Capital,Enrich Your Retirement with Safe and Reliable REIT Income,456.0,3.05K,8.19K,2,16.57K,2.02K,36.27K,3,2024-10-31
https://seekingalpha.com/author/crescent-value-research,https://static1.seekingalpha.com/images/users_profile/000/884/129/extra_large_pic.png,Crescent Value Research,,Seeking Alpha Analyst since 2024,,"I am a former Senior Manager at a Big Four accounting firm and have been a CPA for over 20 years. After leaving public accounting in 2010, I have been the CFO of two privately held companies with sales between $50m and $100m in both the aerospace and defense and beauty industries. At my core, I like to think of myself as a value investor, though I will step into other disciplines if I think it makes sense. I have been investing since 1999, so I have seen a few different market cycles and have tried my hand a many different philosophies over the years. I still believe that the Buffett / Munger style of buying a wonderful business at a fair price is the best path but I keep an open mind to all ideas. As a CPA, I am obviously very comfortable with numbers but I need more than just a company that meets financial metrics in order to invest. I believe in heavy research of a company not just before investing but more importantly during the lifetime of the investment. That means quarterly checkups on financials, conference calls and keeping up with the news. Despite this activity, my goal is to do nothing but hold and reinvest any dividends back into the business. The less I buy or sell, the better. My goal as a contributor is to engage the audience which will help to fully analyze a position. In investing as in life, I like to look at all sides of a situation and not merely listen to opinions that I agree with. In any investment, there are positives and there are risks. The most dangerous position is when you don't recognize that they exist.",None,None,None,None,,,,14,,,125,83,254,5,2024-10-31
https://seekingalpha.com/author/the-alpha-sieve,https://static1.seekingalpha.com/images/users_profile/009/658/941/extra_large_pic.png,The Alpha Sieve,,Seeking Alpha Analyst since 2020,,"Investment research, primarily oriented towards uncelebrated/under-covered stocks and ETFs, across North America, Europe and Asia. Seeks to combine both fundamental and technical disciplines while making an investment/trading proposition.",None,None,None,None,,,,601,,,181,285,3.94K,,2024-10-31
https://seekingalpha.com/author/steve-zachritz,https://static1.seekingalpha.com/images/users_profile/000/053/637/extra_large_pic.png,Steve Zachritz,,Seeking Alpha Analyst since 2007,"Zman's energy brain, llc","Thanks for your interest in Z4 Energy Research. As of January 2021, Tipranks placed us in the top 2% of all financial bloggers and top 5% of overall experts. If you would like more in depth discussions on oil, natural gas, wind, solar, fuel cells, and other renewables, please contact us at zman@zmansenergybrain.com. We have covered energy at zmansenergybrain.com since 2006 posting 6 days a week and have been in the markets since the early 1990s. We post weekly slide shows on the oil and natural gas inventory reports and have daily pieces on individual names as well as group reports within a number of energy segments (Gassy Players, Permian Players, etc). Plus, Z is standing by essentially 24/7 to answer your energy questions. So come give us a try. IF you see our free pieces on Seeking Alpha rest assured that it was long ago written up, watched, mulled, and written up again on our site before we put a piece in the public free space. Also note that while we don't give investment advice we do tell you what we are thinking and when we buy and sell (on the site and via email) and show you our entire trading history (the trading blotter). And the site is fully searchable, by ticker and topic, again, back to 2006. So thanks for the follow and we hope to see your over at our site. Best Regards, Z Z4 Energy Research (Zman's Energy Brain)",http://www.twitter.com/@ZmansEnrgyBrain,@ZmansEnrgyBrain,None,None,,,,450,,38,1.7K,544,4.52K,7,2024-10-31
https://seekingalpha.com/author/wall-street-breakfast,https://static1.seekingalpha.com/images/users_profile/021/001/961/extra_large_pic.png,Wall Street Breakfast,,Seeking Alpha Analyst since 2011,,"Wall Street Breakfast, Seeking Alpha's flagship daily business news summary, is a one-page summary that gives you a rapid overview of the day's key financial news. It is designed for easy readability on the site or by email (including mobile devices), and is published before 7:30 AM ET every market day. Wall Street Breakfast's readership of over 3.4 million includes many from the investment banking and fund management industries. Sign up here to receive the Wall Street Breakfast in your inbox every business day.Check out our Podcast RSS feed",https://twitter.com/WallStBreakfast,WallStBreakfast,None,None,,,,5.59K,,,20,3,5.74M,2,2024-10-31
